cfc_item_index,cfc_materia,cfc_item_titulo,v2_topic_id,v2_materia,v2_topico,score,cont_v1,cont_v2,sobra,relacao_sugerida,revisado,observacao
42,Direito Constitucional,Do Poder Judiciário,trt4_2026p__const_t8,Direito Constitucional,Tópico 08 - Poder Executivo: Atribuições e responsabilidades do Presidente da República,0.26,0.5,0.17,CFC+: [judiciario] | V2+: [executivo atribuicoes responsabilidades presidente],PARCIAL,,Análise manual necessária
42,Direito Constitucional,Do Poder Judiciário,trt4_2026p__const_t9,Direito Constitucional,"Tópico 09 - Poder Legislativo: Congresso Nacional, Câmara, Senado, Processo Legislativo e Fiscalização Contábil/Financeira/Orçamentária",0.22,0.5,0.11,CFC+: [judiciario] | V2+: [legislativo congresso nacional camara],PARCIAL,,Análise manual necessária
43,Direito Constitucional,Das Funções Essenciais à Justiça,trt4_2026p__const_t11,Direito Constitucional,"Tópico 11 - Funções Essenciais à Justiça: Ministério Público, Advocacia Pública, Advocacia e Defensoria Pública",0.56,1,0.38,V2+: [ministerio publico advocacia publica],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
44,Direito Constitucional,Da Defesa do Estado e das Instituições Democráticas,trt4_2026p__const_t6,Direito Constitucional,"Tópico 06 - Organização do Estado: Organização político-administrativa da União, Estados, Municípios, DF e Territórios",0.14,0.25,0.11,CFC+: [defesa instituicoes democraticas] | V2+: [organizacao politico administrativa uniao],NENHUM,,Análise manual necessária
45,Direito Constitucional,Da Ordem Social,,Direito Constitucional,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
46,Direito Constitucional,Controle de Constitucionalidade,trt4_2026p__const_t3,Direito Constitucional,"Tópico 03 - Controle de Constitucionalidade: Sistemas difuso e concentrado; ADI, ADC e ADPF",0.48,1,0.25,V2+: [sistemas difuso concentrado adi],CFC_MAIS_ESTREITO,,Análise manual necessária
47,Direito Processual do Trabalho,Organização da Justiça do Trabalho,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
48,Direito Processual do Trabalho,Jurisdição e Competência da Justiça do Trabalho,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
49,Direito Processual do Trabalho,Do Processo em Geral,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
50,Direito Processual do Trabalho,Dos Dissídios Individuais,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
51,Direito Processual do Trabalho,Da Execução,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
52,Direito Processual do Trabalho,Recursos Trabalhistas,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
53,Direito Processual do Trabalho,Prescrição no Direito Processual do Trabalho,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
54,Direito Processual do Trabalho,Jurisprudências,,Direito Processual do Trabalho,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
55,Direito Processual Civil,Introdução,,Direito Processual Civil,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
56,Direito Processual Civil,Da Função Jurisdicional,,Direito Processual Civil,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
57,Direito Processual Civil,Partes e dos Procuradores  -   Sujeitos do Processo,trt4_2026p__proc_civil_t4,Direito Processual Civil,"Tópico 04 - Sujeitos do Processo: Partes, procuradores, capacidade, representação, honorários, gratuidade da justiça, Litisconsórcio",0.58,1,0.4,V2+: [capacidade representacao honorarios gratuidade],CFC_MAIS_ESTREITO,,Correspondência forte sugerida
57,Direito Processual Civil,Partes e dos Procuradores  -   Sujeitos do Processo,trt4_2026p__proc_civil_t8,Direito Processual Civil,"Tópico 08 - Tutela Provisória (urgência e evidência). Formação, suspensão e extinção do processo",0.15,0.25,0.13,CFC+: [partes procuradores sujeitos] | V2+: [tutela provisoria urgencia evidencia],NENHUM,,Análise manual necessária
57,Direito Processual Civil,Partes e dos Procuradores  -   Sujeitos do Processo,trt4_2026p__proc_civil_t1,Direito Processual Civil,"Tópico 01 - Código de Processo Civil (Lei 13.105/2015): Princípios gerais, fontes, eficácia, aplicação, interpretação e direito intertemporal",0.12,0.25,0.07,CFC+: [partes procuradores sujeitos] | V2+: [codigo civil lei 13],NENHUM,,Análise manual necessária
57,Direito Processual Civil,Partes e dos Procuradores  -   Sujeitos do Processo,trt4_2026p__proc_civil_t13,Direito Processual Civil,"Tópico 13 - Processo de Execução: Princípios, execução contra a Fazenda Pública (Precatórios e RPV), Penhora, Expropriação, Embargos, Exceção de Pré-executividade",0.12,0.25,0.07,CFC+: [partes procuradores sujeitos] | V2+: [execucao principios contra fazenda],NENHUM,,Análise manual necessária
58,Direito Processual Civil,Juiz e dos Auxiliares da Justiça,trt4_2026p__proc_civil_t6,Direito Processual Civil,"Tópico 06 - Juiz (poderes, deveres, impedimento e suspeição). Auxiliares da justiça, MP, Advocacia Pública e Defensoria Pública",0.49,1,0.27,V2+: [poderes deveres impedimento suspeicao],CFC_MAIS_ESTREITO,,Análise manual necessária
58,Direito Processual Civil,Juiz e dos Auxiliares da Justiça,trt4_2026p__proc_civil_t4,Direito Processual Civil,"Tópico 04 - Sujeitos do Processo: Partes, procuradores, capacidade, representação, honorários, gratuidade da justiça, Litisconsórcio",0.16,0.33,0.1,CFC+: [juiz auxiliares] | V2+: [sujeitos processo partes procuradores],PARCIAL,,Análise manual necessária
59,Direito Processual Civil,Atos Processuais,trt4_2026p__proc_civil_t7,Direito Processual Civil,"Tópico 07 - Atos processuais (forma, tempo, lugar, prazos), Comunicação dos atos (citação, intimação) e Nulidades",0.44,1,0.2,V2+: [forma tempo lugar prazos],CFC_MAIS_ESTREITO,,Análise manual necessária
60,Direito Processual Civil,Tutela Provisória (arts. 294 a 311),trt4_2026p__proc_civil_t8,Direito Processual Civil,"Tópico 08 - Tutela Provisória (urgência e evidência). Formação, suspensão e extinção do processo",0.27,0.4,0.25,CFC+: [arts 294 311] | V2+: [urgencia evidencia formacao suspensao],PARCIAL,,Análise manual necessária
61,Direito Processual Civil,"Formação, Suspensão e Extinção do Processo (arts. 312 a 317)",trt4_2026p__proc_civil_t8,Direito Processual Civil,"Tópico 08 - Tutela Provisória (urgência e evidência). Formação, suspensão e extinção do processo",0.47,0.57,0.5,CFC+: [arts 312 317] | V2+: [tutela provisoria urgencia evidencia],PARCIAL,,Análise manual necessária
62,Direito Processual Civil,Procedimento Comum,trt4_2026p__proc_civil_t9,Direito Processual Civil,"Tópico 09 - Procedimento comum: Petição inicial, Contestação, Reconvenção, Revelia, Saneamento e Julgamento conforme o estado",0.43,1,0.18,V2+: [peticao inicial contestacao reconvencao],CFC_MAIS_ESTREITO,,Análise manual necessária
63,Direito Processual Civil,Cumprimento da Sentença (arts. 513 a 538),trt4_2026p__proc_civil_t11,Direito Processual Civil,"Tópico 11 - Sentença (elementos, efeitos, remessa necessária), Coisa Julgada, Liquidação e Cumprimento de Sentença",0.25,0.4,0.22,CFC+: [arts 513 538] | V2+: [elementos efeitos remessa necessaria],PARCIAL,,Análise manual necessária
64,Direito Processual Civil,Do Processo de Execução,trt4_2026p__proc_civil_t13,Direito Processual Civil,"Tópico 13 - Processo de Execução: Princípios, execução contra a Fazenda Pública (Precatórios e RPV), Penhora, Expropriação, Embargos, Exceção de Pré-executividade",0.4,1,0.14,V2+: [principios contra fazenda publica],CFC_MAIS_ESTREITO,,Análise manual necessária
64,Direito Processual Civil,Do Processo de Execução,trt4_2026p__proc_civil_t8,Direito Processual Civil,"Tópico 08 - Tutela Provisória (urgência e evidência). Formação, suspensão e extinção do processo",0.23,0.5,0.13,CFC+: [execucao] | V2+: [tutela provisoria urgencia evidencia],PARCIAL,,Análise manual necessária
64,Direito Processual Civil,Do Processo de Execução,trt4_2026p__proc_civil_t4,Direito Processual Civil,"Tópico 04 - Sujeitos do Processo: Partes, procuradores, capacidade, representação, honorários, gratuidade da justiça, Litisconsórcio",0.22,0.5,0.1,CFC+: [execucao] | V2+: [sujeitos partes procuradores capacidade],PARCIAL,,Análise manual necessária
64,Direito Processual Civil,Do Processo de Execução,trt4_2026p__proc_civil_t1,Direito Processual Civil,"Tópico 01 - Código de Processo Civil (Lei 13.105/2015): Princípios gerais, fontes, eficácia, aplicação, interpretação e direito intertemporal",0.2,0.5,0.07,CFC+: [execucao] | V2+: [codigo civil lei 13],PARCIAL,,Análise manual necessária
65,Direito Processual Civil,Meios de Impugnação das Decisões Judiciais,,Direito Processual Civil,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
66,Direito Processual Civil,Dos Recursos,trt4_2026p__proc_civil_t12,Direito Processual Civil,"Tópico 12 - Recursos: Disposições gerais, Agravo Interno e de Instrumento, Embargos de Declaração, Repercussão Geral, Recursos Repetitivos",0.36,1,0.09,V2+: [disposicoes gerais agravo interno],CFC_MAIS_ESTREITO,,Análise manual necessária
67,Direito Processual Civil,Tabela Auxiliar de Prazos,trt4_2026p__proc_civil_t7,Direito Processual Civil,"Tópico 07 - Atos processuais (forma, tempo, lugar, prazos), Comunicação dos atos (citação, intimação) e Nulidades",0.16,0.33,0.1,CFC+: [tabela auxiliar] | V2+: [atos processuais forma tempo],PARCIAL,,Análise manual necessária
